gcf	phylum
GCF000233695	Proteobacteria
GCF000299355	Firmicutes
GCF000953215	Firmicutes
GCF001907235	Actinobacteria
GCF900142575	Actinobacteria
GCF900129205	Proteobacteria
GCF000512895	Firmicutes
GCF000379805	Bacteroidetes
GCF000013765	Proteobacteria
GCF000421545	Actinobacteria
GCF001457025	Actinobacteria
GCF900155935	Proteobacteria
GCF000702585	Firmicutes
GCF000829465	Firmicutes
GCF000374465	not_annotated
GCF000740795	Proteobacteria
GCF000186425	Proteobacteria
GCF001441535	Proteobacteria
GCF000218235	Bacteroidetes
GCF900096905	Firmicutes
GCF900107725	Proteobacteria
GCF000196275	Deinococcus-Thermus
GCF900115465	Firmicutes
GCF900113685	Actinobacteria
GCF000156035	Firmicutes
GCF000169255	Firmicutes
GCF000764165	Actinobacteria
GCF002153425	Firmicutes
GCF001723355	Proteobacteria
GCF900129295	Bacteroidetes
GCF001278055	Proteobacteria
GCF000156055	Firmicutes
GCF001418335	not_annotated
GCF000237805	Synergistetes
GCF001006805	Proteobacteria
GCF001465255	Firmicutes
GCF002119215	Actinobacteria
GCF900129005	Bacteroidetes
GCF000023745	Proteobacteria
GCF000969835	Bacteroidetes
GCF900116565	Bacteroidetes
GCF000187895	Bacteroidetes
GCF000621325	Proteobacteria
GCF000172155	Verrucomicrobia
GCF000429765	Proteobacteria
GCF000367345	Proteobacteria
GCF000265385	Bacteroidetes
GCF900188375	not_annotated
GCF001637225	Firmicutes
GCF001707825	Proteobacteria
GCF900168035	Proteobacteria
GCF001729725	Proteobacteria
GCF900176595	Bacteroidetes
GCF000702505	Chloroflexi
GCF001884735	Proteobacteria
GCF900172255	not_annotated
GCF001046645	Proteobacteria
GCF000185965	Proteobacteria
GCF000970465	not_annotated
GCF001263175	Proteobacteria
GCF000224335	Bacteroidetes
GCF000466945	Proteobacteria
GCF000384115	Actinobacteria
GCF000272005	Proteobacteria
GCF001182045	Proteobacteria
GCF000346615	Bacteroidetes
GCF900115015	Bacteroidetes
GCF002086395	Actinobacteria
GCF000403355	Actinobacteria
GCF002205635	not_annotated
GCF000147355	Proteobacteria
GCF001499655	Chlamydiae
GCF900102185	Acidobacteria
GCF000756775	Proteobacteria
GCF001190945	Actinobacteria
GCF001735765	Firmicutes
GCF900111355	Firmicutes
GCF000092825	Actinobacteria
GCF000720925	Actinobacteria
GCF000420105	not_annotated
GCF002207865	not_annotated
GCF001598495	Proteobacteria
GCF001894885	Actinobacteria
GCF001639105	Proteobacteria
GCF000709935	Firmicutes
GCF000970675	Firmicutes
GCF000153905	Firmicutes
GCF900114705	Proteobacteria
GCF002028545	Proteobacteria
GCF900172225	not_annotated
GCF000430705	Actinobacteria
GCF900128485	Proteobacteria
GCF900169495	Firmicutes
GCF000422725	Bacteroidetes
GCF002157505	not_annotated
GCF000231305	Actinobacteria
GCF000420465	Proteobacteria
GCF900105995	Proteobacteria
GCF000398925	Firmicutes
GCF000213575	Bacteroidetes
GCF000953855	Proteobacteria
GCF001953055	Proteobacteria
GCF001754075	Firmicutes
GCF000215105	Actinobacteria
GCF000020225	Verrucomicrobia
GCF900107645	Proteobacteria
